                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.77039,                0.57121,                 1.0671,                0.96872,                0.94547,                 0.9736,                0.83924,                 0.6298,                0.34933,                0.97876,               0.006898,               0.006898,               0.006898
                     49,                0.76207,                0.56394,                  1.059,                0.96886,                0.94494,                0.97371,                0.83929,                0.62785,                0.34755,                0.97765,               0.006832,               0.006832,               0.006832
                     50,                0.76365,                0.56579,                 1.0629,                0.96876,                0.94522,                0.97377,                0.83824,                 0.6301,                0.34764,                0.97893,               0.006766,               0.006766,               0.006766
                     51,                0.76045,                0.56183,                 1.0581,                0.96781,                 0.9466,                0.97386,                0.83492,                0.64017,                0.34815,                0.98187,                 0.0067,                 0.0067,                 0.0067
                     52,                0.75671,                0.55372,                 1.0567,                0.96934,                0.94551,                0.97403,                0.83573,                0.63862,                0.34756,                0.98079,               0.006634,               0.006634,               0.006634
                     53,                0.75555,                  0.557,                 1.0568,                 0.9697,                0.94556,                0.97421,                 0.8364,                0.63583,                0.34622,                 0.9795,               0.006568,               0.006568,               0.006568
                     54,                0.75585,                 0.5566,                 1.0579,                0.96925,                0.94659,                0.97424,                0.83691,                0.63449,                0.34574,                0.97884,               0.006502,               0.006502,               0.006502
                     55,                0.75273,                0.55366,                 1.0544,                0.96767,                0.94883,                0.97429,                0.83868,                0.62995,                0.34403,                0.97678,               0.006436,               0.006436,               0.006436
                     56,                0.75046,                0.55266,                 1.0525,                0.96709,                0.94933,                0.97454,                0.84068,                0.62479,                0.34195,                0.97503,                0.00637,                0.00637,                0.00637
                     57,                  0.749,                0.54774,                 1.0554,                0.96802,                0.94858,                0.97439,                0.84254,                0.61823,                0.33986,                0.97262,               0.006304,               0.006304,               0.006304
                     58,                0.74826,                0.54776,                 1.0505,                0.96792,                 0.9488,                0.97491,                0.84383,                0.61544,                0.33882,                0.97122,               0.006238,               0.006238,               0.006238
                     59,                0.74608,                0.54295,                 1.0487,                0.96822,                0.94881,                0.97499,                  0.841,                0.62341,                0.34056,                0.97382,               0.006172,               0.006172,               0.006172
                     60,                0.74414,                0.54332,                 1.0501,                 0.9686,                0.94893,                0.97486,                0.84052,                0.62513,                0.33991,                0.97458,               0.006106,               0.006106,               0.006106
                     61,                0.74252,                0.54323,                 1.0508,                0.96822,                0.94897,                0.97492,                0.83904,                0.62926,                0.34061,                0.97654,                0.00604,                0.00604,                0.00604
                     62,                   0.74,                0.53771,                 1.0454,                0.97027,                 0.9479,                0.97491,                0.83703,                0.63411,                0.34096,                0.97765,               0.005974,               0.005974,               0.005974
                     63,                0.73762,                0.53627,                 1.0431,                0.96812,                0.94892,                  0.975,                0.83441,                  0.642,                0.34224,                0.97956,               0.005908,               0.005908,               0.005908
                     64,                0.73772,                0.53455,                 1.0459,                0.96938,                 0.9483,                0.97545,                0.83295,                0.64737,                0.34198,                0.98172,               0.005842,               0.005842,               0.005842
                     65,                0.73225,                0.52972,                  1.046,                0.96933,                0.94895,                0.97491,                0.82863,                0.66153,                0.34337,                0.98684,               0.005776,               0.005776,               0.005776
                     66,                0.73348,                0.53281,                 1.0431,                0.96864,                0.95009,                0.97483,                0.82401,                0.67777,                0.34534,                0.99228,                0.00571,                0.00571,                0.00571
                     67,                0.73063,                0.52653,                 1.0409,                0.96896,                0.95014,                0.97479,                0.82289,                0.68183,                 0.3454,                0.99363,               0.005644,               0.005644,               0.005644
                     68,                0.72872,                 0.5254,                 1.0417,                0.96732,                0.95183,                0.97503,                0.82268,                0.68491,                0.34534,                0.99448,               0.005578,               0.005578,               0.005578
